id_reserva;id_unidade;id_tipo_quarto;id_cliente;id_canal;data_checkin;data_checkout;qtd_diarias;num_hospedes;avaliacao_hospede;status_reserva;forma_pagamento
1;5;1;3;2.0;2024-04-28;2024-04-30;2;1;4.0;confirmada;Cartão de Crédito
2;5;1;261;4.0;2023-09-28;2023-10-01;3;2;1.0;concluída;PIX
3;10;4;49;4.0;2023-08-01;2023-08-06;5;1;9.0;concluída;Cartão de Crédito
4;6;2;23;2.0;2023-02-18;2023-02-21;3;1;9.0;cancelada;PIX
5;7;1;42;1.0;2023-01-12;2023-01-19;7;1;6.0;confirmada;Transferência
6;4;3;179;3.0;2024-04-28;2024-05-03;5;3;10.0;confirmada;Transferência
7;10;2;144;2.0;2023-04-19;2023-04-24;5;1;9.0;confirmada;Dinheiro
8;4;4;33;3.0;2023-08-26;2023-09-02;7;2;;no-show;Dinheiro
9;2;3;140;2.0;2024-04-04;2024-04-08;4;3;6.0;concluída;Dinheiro
10;5;1;48;2.0;2023-07-02;2023-07-04;2;1;2.0;confirmada;PIX
11;8;3;189;;2024-10-08;2024-10-13;5;1;8.0;concluída;Transferência
12;8;3;263;1.0;2023-04-20;2023-04-21;1;3;7.0;confirmada;Transferência
13;3;3;184;;2024-02-01;2024-02-02;1;1;2.0;confirmada;PIX
14;4;3;68;3.0;2024-03-07;2024-03-11;4;3;;cancelada;Dinheiro
15;6;2;173;1.0;2024-07-20;2024-07-23;3;1;;cancelada;Transferência
16;2;1;79;2.0;2024-05-25;2024-05-31;6;2;6.0;confirmada;PIX
17;9;3;272;1.0;2023-03-23;2023-03-30;7;1;9.0;confirmada;Transferência
18;7;4;148;3.0;2023-12-12;2023-12-18;6;3;9.0;concluída;Transferência
19;3;1;151;4.0;2024-01-15;2024-01-17;2;2;1.0;confirmada;Cartão de Crédito
20;4;1;201;1.0;2023-08-13;2023-08-14;1;2;10.0;confirmada;Dinheiro
21;10;4;153;4.0;2023-01-18;2023-01-23;5;4;6.0;confirmada;Cartão de Crédito
22;10;2;230;1.0;2023-11-13;2023-11-18;5;1;10.0;cancelada;Cartão de Débito
23;10;3;215;2.0;2023-09-29;2023-10-04;5;1;6.0;confirmada;Cartão de Crédito
24;4;2;89;4.0;2023-07-24;2023-07-25;1;2;9.0;confirmada;PIX
25;11;1;196;1.0;2024-01-21;2024-01-28;7;1;7.0;confirmada;PIX
26;8;1;60;2.0;2023-04-29;2023-05-01;2;2;7.0;confirmada;Cartão de Crédito
27;5;3;276;4.0;2024-09-12;2024-09-13;1;1;2.0;confirmada;Transferência
28;5;1;162;4.0;2023-10-15;2023-10-17;2;1;2.0;confirmada;Dinheiro
29;8;1;44;3.0;2023-05-24;2023-05-26;2;2;10.0;confirmada;Transferência
30;7;3;206;4.0;2024-04-07;2024-04-13;6;1;9.0;confirmada;Transferência
31;4;5;95;2.0;2024-02-19;2024-02-23;4;3;9.0;no-show;cred
32;3;2;144;2.0;2023-07-15;2023-07-17;2;2;2.0;confirmada;Transferência
33;3;1;225;2.0;2023-07-15;2023-07-17;2;2;1.0;confirmada;Cartão de Débito
34;4;1;149;3.0;2024-12-20;2024-12-26;6;1;7.0;confirmada;Cartão de Crédito
35;12;2;155;4.0;2024-05-07;2024-05-13;6;1;9.0;confirmada;Dinheiro
36;11;1;259;4.0;2023-03-26;2023-03-29;3;1;;cancelada;Cartão de Crédito
